/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-015.cnf: SAT (wall=1.95ms, cpu=0.624ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0150.cnf: SAT (wall=2.07ms, cpu=0.612ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0151.cnf: SAT (wall=2.17ms, cpu=0.637ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0152.cnf: SAT (wall=2.10ms, cpu=0.624ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0153.cnf: SAT (wall=2.14ms, cpu=0.629ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0154.cnf: SAT (wall=2.52ms, cpu=0.661ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0155.cnf: SAT (wall=2.19ms, cpu=0.637ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0156.cnf: SAT (wall=2.14ms, cpu=0.622ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0157.cnf: SAT (wall=2.08ms, cpu=0.602ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0158.cnf: SAT (wall=2.11ms, cpu=0.639ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0159.cnf: SAT (wall=2.07ms, cpu=0.611ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-016.cnf: SAT (wall=2.01ms, cpu=0.609ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0160.cnf: SAT (wall=2.18ms, cpu=0.629ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0161.cnf: SAT (wall=2.15ms, cpu=0.627ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0162.cnf: SAT (wall=2.10ms, cpu=0.627ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0163.cnf: SAT (wall=2.23ms, cpu=0.657ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0164.cnf: SAT (wall=2.14ms, cpu=0.611ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0165.cnf: SAT (wall=1.95ms, cpu=0.615ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0166.cnf: SAT (wall=2.09ms, cpu=0.602ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0167.cnf: SAT (wall=2.17ms, cpu=0.612ms)
